plz,x,z,power_kw,year
01665,0.721942,0.023227,5560.0,2025
01683,0.688097,0.028393,5560.0,2025
04683,0.512648,-0.037966,1.0,2025
04683,0.514269,-0.035505,1.0,2025
27404,-0.282058,-0.699433,6000.0,2025
33165,-0.36987,-0.155625,10.0,2025
59387,-0.67889,-0.21049,5500.0,2025
59387,-0.67727,-0.208029,5500.0,2025
16866,0.456983,-0.607375,4800.0,2025
06772,0.403728,0.048518,5500.0,2025
27404,-0.287059,-0.702306,6000.0,2025
27404,-0.280382,-0.705413,6000.0,2025
27404,-0.284512,-0.69532,6000.0,2025
91230,0.243971,0.557807,6000.0,2025
91230,0.245592,0.560268,6200.0,2025
06772,0.410405,0.04541,5500.0,2025
25938,-0.466664,-1.183467,25.0,2024
33178,-0.418912,-0.168179,6000.0,2025
24610,-0.069929,-0.966477,5700.0,2025
33184,-0.361916,-0.191169,2300.0,2025
21483,0.022121,-0.757567,5700.0,2025
21483,0.023742,-0.755106,5700.0,2025
21483,0.018741,-0.757978,5700.0,2025
21483,0.025418,-0.761086,5700.0,2025
21483,0.021288,-0.750993,5700.0,2025
06772,0.406275,0.055503,5500.0,2025
27404,-0.286561,-0.708189,6000.0,2025
38550,0.031188,-0.424724,2.0,2025
58091,-0.712066,-0.059172,4200.0,2025
27404,-0.278003,-0.699778,6000.0,2025
27404,-0.289309,-0.697817,6000.0,2025
55430,-0.662537,0.362823,5700.0,2025
24994,-0.302176,-1.217027,6000.0,2025
99765,0.101943,-0.094111,3.0,2025
16945,0.42327,-0.712697,5560.0,2025
82054,0.285516,1.070784,5560.0,2025
76879,-0.545454,0.64644,5600.0,2025
41517,-0.927552,0.039626,6000.0,2025
06895,0.572264,-0.252376,6600.0,2025
89150,-0.186269,0.891857,3600.0,2025
89150,-0.184649,0.894317,3600.0,2025
06809,0.43868,-0.138111,6000.0,2025
06809,0.440301,-0.135651,6000.0,2025
24610,-0.06137,-0.958067,5700.0,2025
24626,-0.091508,-0.963269,5700.0,2025
99610,0.166994,-0.002371,6200.0,2025
41517,-0.925931,0.042087,6000.0,2025
99610,0.17367,-0.005478,6200.0,2025
06917,0.603118,-0.223911,6600.0,2025
06917,0.609795,-0.227019,6600.0,2025
99610,0.169541,0.004615,6000.0,2025
52146,-1.033729,0.115354,6000.0,2025
52146,-1.032108,0.117815,6000.0,2025
52146,-1.037108,0.114943,6000.0,2025
17291,0.819897,-0.719055,4260.0,2025
01189,0.777849,0.050233,1.0,2025
59227,-0.616743,-0.208312,4200.0,2025
25361,-0.224249,-0.890282,4800.0,2025
25578,-0.221614,-0.905594,4800.0,2025
24610,-0.072677,-0.956105,5700.0,2025
26188,-0.592659,-0.649901,10.0,2025
58091,-0.710445,-0.056711,4200.0,2025
52353,-0.960112,0.112178,5700.0,2025
33100,-0.38724,-0.183204,5560.0,2025
59227,-0.615122,-0.205851,4200.0,2025
